Time,USA,Saudi,OPEC
1960,2897.312,2.675,8107.413
1961,2886.883,3.568,8758.198
1962,2993.907,6.25,9871.961
1963,3126.484,6.939,10887.454
1964,3264.32,7.041,12321.423
1965,3399.532,4.216,13630.828
1966,3571.421,6.408,15019
1967,3705.453,25.485,16024.674
1968,3840.922,29.079,17853.883
1969,4035.157,35.271,19845.004
1970,4339.687,45.251,22276.789
1971,4365.453,59.757,24109.397
1972,4573.016,70.282,25592.052
1973,4785.047,95.053,29023.138
1974,4621.062,98.702,28827.615
1975,4478.219,83.261,25412.581
1976,4747.766,101.46,28724.135
1977,4889.609,118.07,29152.263
1978,4941.359,115.025,27680.694
1979,5008.579,138.004,28801.423
1980,4808.515,169.241,24834.709
1981,4686.359,175.304,20518.12
1982,4447.266,157.894,17441.068
1983,4429.375,160.837,15521.164
1984,4662.141,155.512,14808.722
1985,4652.578,172.421,13966.467
1986,4663.375,204.604,16660.718
1987,4825.641,190.447,15999.725
1988,5050.484,202.252,18198
1989,5132.125,203.424,19667.047
1990,5122.515,208.497,21220.323
1991,5064.985,288.545,21357.169
1992,5175.203,316.175,23091.562
1993,5274.375,340.642,23519.741
1994,5365.594,328.14,23927.832
1995,5427.781,262.42,24021.569
1996,5616.438,258.275,24313.114
1997,5691.843,215.807,25074.938
1998,5737.157,207.241,27194.056
1999,5810.312,225.986,25662.436
2000,6016.344,296.363,27225.584
2001,5912,296.588,26458.062
2002,5952.687,325.698,24229.387
2003,6015.813,326.517,26695.80946
2004,6117.968,394.585,29526.16181
2005,6137.594,395.855,30769.309
2006,6057.188,431.292,31016.52569
2007,6135.281,386.507,30518.103
2008,5918.875,432.336,31498.847
2009,5482.969,465.844,28479.696
2010,5681.375,517.716,28818.482
2011,5546.656,497.66,29642.931
2012,5345.438,566.825,31922.685
2013,5480.937,544.563,31015.213
2014,5528.844,612.842,30068.521
2015,5376.593,678.85,31056.872
2016,5251.782,642.859,32464.384
2017,5210.937,643.639,31639.186
2018,5376.657,626.191,31216.348
2019,5259.124,656.482,29376.53
2020,4715.719,661.192,25659.265
2021,5007.313,672.38,26363.161
